coin,bias,strength,reason,entry,exit,stop,current
BTCUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),115316.05,121081.86,111856.57,115316.05
ETHUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),4163.07,4371.22,4038.18,4163.07
LTCUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),99.04,103.99,96.07,99.04
XRPUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),2.61,2.74,2.53,2.61
BCHUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),557.75,585.63,541.01,557.75
BNBUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),1154.65,1212.38,1120.01,1154.65
DOGEUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.2,0.21,0.2,0.2
XLMUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.32,0.34,0.32,0.32
ADAUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.68,0.71,0.66,0.68
XMRUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),342.98,360.13,332.69,342.98
XEMUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.0,0.0,0.0,0.0
IOTAUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.15,0.16,0.14,0.15
ETCUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),16.49,17.32,16.0,16.49
DASHUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),51.23,53.8,49.7,51.23
ZECUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),354.57,372.3,343.93,354.57
NEOUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),5.29,5.55,5.13,5.29
QTUMUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),2.03,2.13,1.97,2.03
XTZUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.61,0.64,0.59,0.61
LINKUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.0,0.0,0.0,0.0
DOTUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),3.16,3.31,3.06,3.16
AAVEUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),238.77,250.71,231.6,238.77
SOLUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),200.14,210.15,194.14,200.14
FILUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),1.63,1.71,1.58,1.63
1INCHUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.18,0.19,0.18,0.18
AXSUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),1.61,1.69,1.56,1.61
BALUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),1.06,1.11,1.03,1.06
BANDUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.55,0.58,0.54,0.55
BELUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.24,0.25,0.23,0.24
C98USDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.04,0.04,0.04,0.04
CELRUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.01,0.01,0.01,0.01
COTIUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.03,0.04,0.03,0.03
EGLDUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),9.83,10.32,9.53,9.83
GALAUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.01,0.01,0.01,0.01
KNCUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.31,0.32,0.3,0.31
MKRUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),1807.56,1897.94,1753.33,1807.56
NEARUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),2.36,2.48,2.29,2.36
OCEANUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.32,0.34,0.31,0.32
SFPUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.4,0.41,0.38,0.4
SUSHIUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.55,0.57,0.53,0.55
ZILUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.01,0.01,0.01,0.01
MANAUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.24,0.26,0.24,0.24
SANDUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.22,0.23,0.21,0.22
APEUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.44,0.46,0.42,0.44
ONEUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.0,0.0,0.0,0.0
WBTCUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),115253.4,121016.07,111795.8,115253.4
ALGOUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.19,0.2,0.18,0.19
KLAYUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.11,0.12,0.11,0.11
CHZUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.03,0.03,0.03,0.03
FLOWUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.28,0.29,0.27,0.28
HBARUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.18,0.19,0.17,0.18
OPUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.46,0.48,0.45,0.46
CRVUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.57,0.6,0.56,0.57
LDOUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.95,1.0,0.92,0.95
DYDXUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.34,0.36,0.33,0.34
GNOUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),138.86,145.8,134.69,138.86
ENSUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),16.15,16.96,15.67,16.15
LPTUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),5.14,5.4,4.99,5.14
GLMUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.18,0.19,0.18,0.18
DAOUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.09,0.1,0.09,0.09
SRMUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.01,0.01,0.01,0.01
ILVUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),11.95,12.55,11.59,11.95
TUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.01,0.01,0.01,0.01
ICPUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),3.2,3.36,3.1,3.2
HNTUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),2.1,2.21,2.04,2.1
TONUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.01,0.01,0.01,0.01
BLURUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.05,0.06,0.05,0.05
RPLUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),3.49,3.67,3.39,3.49
WETHUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),4165.62,4373.9,4040.65,4165.62
SSVUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),5.54,5.82,5.37,5.54
WLDUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.93,0.97,0.9,0.93
AGLDUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.42,0.44,0.41,0.42
JSTUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.03,0.04,0.03,0.03
BICOUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.07,0.07,0.07,0.07
FETUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.27,0.28,0.26,0.27
TRBUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),26.76,28.1,25.96,26.76
MEMEUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.0,0.0,0.0,0.0
UMAUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),1.15,1.21,1.12,1.15
BIGTIMEUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.03,0.04,0.03,0.03
IDUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.01,0.01,0.01,0.01
BNTUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.62,0.65,0.6,0.62
AEVOUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.07,0.07,0.06,0.07
ONDOUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.75,0.79,0.73,0.75
CATIUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.08,0.09,0.08,0.08
HMSTRUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.0,0.0,0.0,0.0
EIGENUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),1.12,1.18,1.09,1.12
JASMYUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.01,0.01,0.01,0.01
ENAUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.52,0.54,0.5,0.52
PENDLEUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),3.4,3.57,3.3,3.4
MAJORUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.11,0.11,0.1,0.11
STRKUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.01,0.01,0.01,0.01
METISUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),10.25,10.76,9.94,10.25
INJUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),8.74,9.17,8.48,8.74
DEXEUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),7.29,7.66,7.07,7.29
ZKJUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.07,0.08,0.07,0.07
CGPTUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.06,0.06,0.06,0.06
AMPUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.0,0.0,0.0,0.0
CFXUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.12,0.12,0.11,0.12
PHAUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.06,0.07,0.06,0.06
ZENTUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.01,0.01,0.01,0.01
IQUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.0,0.0,0.0,0.0
USUALUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.03,0.03,0.03,0.03
WIFUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.56,0.58,0.54,0.56
RAYUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),1.86,1.96,1.81,1.86
TNSRUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.07,0.07,0.07,0.07
VINEUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.05,0.05,0.05,0.05
ACTUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.0,0.0,0.0,0.0
ANIMEUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.0,0.0,0.0,0.0
COWUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.0,0.0,0.0,0.0
PEOPLEUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.01,0.01,0.01,0.01
POWRUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.12,0.13,0.12,0.12
ACHUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.01,0.01,0.01,0.01
AIXBTUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.1,0.1,0.1,0.1
VIRTUALUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),1.46,1.53,1.42,1.46
KAITOUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),1.16,1.22,1.13,1.16
JUPUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.0,0.0,0.0,0.0
CETUSUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.05,0.06,0.05,0.05
PNUTUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.14,0.15,0.13,0.14
ORCAUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),1.5,1.58,1.46,1.5
SYRUPUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.39,0.41,0.37,0.39
SAHARAUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.08,0.08,0.08,0.08
BOMEUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.0,0.0,0.0,0.0
PYTHUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.12,0.12,0.11,0.12
JTOUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),1.12,1.18,1.09,1.12
SKYUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.02,0.02,0.02,0.02
KMNOUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.06,0.07,0.06,0.06
AVNTUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.73,0.77,0.71,0.73
RLCUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.88,0.93,0.86,0.88
SEIUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.2,0.21,0.2,0.2
2ZUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.23,0.25,0.23,0.23
CTCUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.47,0.49,0.45,0.47
